epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.4072,0.05675,nan,18.0047,3.38761,0.00418,0.21644,0.00257,0.0009,0,0,0,0,nan,nan,nan,nan,0.0833979,0.0633886,0.0633886
2,78.8115,0.05751,nan,17.575,3.10473,0.0055,0.28493,0.00608,0.00156,0,0,0,0,0.05526,nan,20.855,3.0828,0.0771312,0.0771312,0.0771312
3,117.469,0.05783,nan,17.7038,3.0934,0.00566,0.29315,0.00456,0.00122,0,0,0,0,0.05462,nan,20.3678,3.02482,0.0769593,0.0769593,0.0769593
4,159.868,0.05675,nan,18.164,3.09278,0.0055,0.28493,0.0057,0.00138,0,0,0,0,0.05456,nan,20.314,3.0266,0.0767874,0.0767874,0.0767874
5,204.12,0.05785,nan,17.6695,3.10925,0.00571,0.29589,0.00471,0.00124,0,0,0,0,0.05452,nan,20.3669,3.02798,0.0766154,0.0766154,0.0766154
6,248.54,0.05687,nan,17.5956,3.09751,0.00561,0.29041,0.00467,0.00127,0,0,0,0,0.05456,nan,20.1815,3.02557,0.0764435,0.0764435,0.0764435
7,293.123,0.05653,nan,17.8013,3.08822,0.0055,0.28493,0.00462,0.00124,0,0,0,0,0.05454,nan,20.2516,3.02617,0.0762716,0.0762716,0.0762716
8,338.678,0.05755,nan,17.597,3.1124,0.00556,0.28767,0.00455,0.00124,0,0,0,0,0.05455,nan,20.4229,3.02772,0.0760996,0.0760996,0.0760996
9,384.544,0.05679,nan,17.8324,3.06743,0.00556,0.28767,0.00468,0.00126,0,0,0,0,0.05459,nan,20.4596,3.03073,0.0759277,0.0759277,0.0759277
10,430.468,0.05795,nan,17.8415,3.12064,0.00556,0.28767,0.00453,0.00123,0,0,0,0,0.05454,nan,20.4371,3.02773,0.0757558,0.0757558,0.0757558
11,476.494,0.05628,nan,22.602,3.09218,0.00587,0.30411,0.00971,0.00192,0,0,0,0,0.05439,nan,22.2223,3.03385,0.0755838,0.0755838,0.0755838
12,520.639,0.0561,nan,22.0995,3.09426,0.00593,0.30685,0.00965,0.00193,0,0,0,0,0.05437,nan,22.0832,3.03462,0.0754119,0.0754119,0.0754119
13,564.809,0.05613,nan,22.6825,3.08837,0.00598,0.30959,0.00972,0.00185,0,0,0,0,0.05438,nan,22.2285,3.03508,0.07524,0.07524,0.07524
14,609.402,0.05587,nan,22.757,3.10852,0.00593,0.30685,0.00632,0.00157,0,0,0,0,0.05436,nan,22.3738,3.03515,0.0750681,0.0750681,0.0750681
15,653.877,0.05635,nan,22.1129,3.10461,0.00598,0.30959,0.00707,0.00196,0,0,0,0,0.05436,nan,22.594,3.0357,0.0748961,0.0748961,0.0748961
16,697.88,0.05593,nan,22.7767,3.05692,0.00577,0.29863,0.00969,0.00182,0,0,0,0,0.05435,nan,22.1515,3.03487,0.0747242,0.0747242,0.0747242
17,742.382,0.05625,nan,23.1588,3.08828,0.00608,0.31507,0.00662,0.0017,0,0,0,0,0.05439,nan,22.525,3.03404,0.0745523,0.0745523,0.0745523
18,786.362,0.05644,nan,22.7081,3.09323,0.00582,0.30137,0.00969,0.00191,0,0,0,0,0.05439,nan,22.1616,3.03524,0.0743803,0.0743803,0.0743803
19,830.869,0.05732,nan,22.6075,3.124,0.00603,0.31233,0.00692,0.00162,0,0,0,0,0.05438,nan,21.8495,3.03426,0.0742084,0.0742084,0.0742084
20,874.959,0.05818,nan,21.9862,3.12054,0.00598,0.30959,0.0073,0.00157,0,0,0,0,0.05434,nan,22.2307,3.03503,0.0740365,0.0740365,0.0740365
