epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,541.644,2.14348,2.99852,2.73216,1.97531,0.19339,0.11395,0.0764,0.02494,0.17311,0.10218,0.06499,0.01821,1.7364,2.68847,2.49459,1.72634,0.0802448,0.000199548,0.000199548
2,1105.06,1.65472,2.43846,2.15938,1.52988,0.22591,0.12553,0.09483,0.03498,0.23526,0.12007,0.08741,0.02966,1.63154,2.51252,2.44631,1.63311,0.0604268,0.000381568,0.000381568
3,1650.3,1.52948,2.32852,2.01216,1.45529,0.26297,0.2063,0.13654,0.05139,0.24629,0.18942,0.11847,0.0384,1.48355,2.37398,2.09555,1.50276,0.0405908,0.000545588,0.000545588
4,2166.68,1.45587,2.2438,1.89984,1.40501,0.27023,0.23815,0.16352,0.06346,0.26172,0.22399,0.14912,0.05148,1.46055,2.34215,2.02011,1.5218,0.0207369,0.000691609,0.000691609
5,2678.73,1.42241,2.19795,1.85076,1.38661,0.31775,0.25409,0.18311,0.07,0.29848,0.23355,0.16039,0.05239,1.41988,2.30074,1.98412,1.50099,0.000864878,0.000819629,0.000819629
6,3225.92,1.388,2.14925,1.77749,1.36115,0.32189,0.25608,0.18251,0.07149,0.30359,0.23386,0.16257,0.05518,1.44472,2.30193,1.96072,1.50088,0.000775,0.000775,0.000775
7,3709.1,1.35873,2.11377,1.73103,1.3499,0.38284,0.26666,0.22718,0.09288,0.369,0.24279,0.19963,0.06932,1.36124,2.2412,1.85033,1.43946,0.00073,0.00073,0.00073
8,4213.31,1.32938,2.08734,1.67933,1.32965,0.41558,0.29862,0.25047,0.10604,0.40107,0.28319,0.23029,0.08444,1.35947,2.21673,1.77721,1.44213,0.000685,0.000685,0.000685
9,4757.3,1.31726,2.05896,1.64725,1.31518,0.34042,0.29721,0.23566,0.09828,0.3342,0.2767,0.21505,0.07746,1.35819,2.18364,1.7421,1.41577,0.00064,0.00064,0.00064
10,5289.61,1.29,2.03709,1.61085,1.3072,0.42959,0.30685,0.26364,0.11242,0.40482,0.27801,0.23124,0.08259,1.32921,2.19532,1.68454,1.42131,0.000595,0.000595,0.000595
11,6426.84,1.33477,2.10177,1.6962,1.41546,0.3949,0.29729,0.248,0.10694,0.38916,0.27974,0.22832,0.08365,1.32752,2.1464,1.8185,1.41274,0.00055,0.00055,0.00055
12,6900.88,1.32092,2.08233,1.65257,1.4162,0.44888,0.33657,0.2844,0.12271,0.43451,0.31502,0.26141,0.09837,1.31219,2.12872,1.66949,1.41001,0.000505,0.000505,0.000505
13,7372.65,1.30648,2.06756,1.61541,1.4052,0.42893,0.33046,0.27026,0.11866,0.41363,0.30497,0.24626,0.09017,1.29765,2.1072,1.68277,1.41274,0.00046,0.00046,0.00046
14,7861.22,1.29425,2.0532,1.59377,1.39977,0.46975,0.35011,0.30717,0.1343,0.44217,0.32016,0.27331,0.10216,1.31189,2.11043,1.60356,1.40365,0.000415,0.000415,0.000415
