epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.5879,0.02046,0.02862,22.0805,3.44332,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0787482,0.0294816,0.0294816
2,77.9489,0.02026,nan,20.9222,3.08326,0.00693,0.3589,0.0138,0.00249,0,0,0,0,nan,nan,nan,nan,0.0788973,0.0570745,0.0570745
3,117.356,0.02073,nan,21.0279,3.09172,0.00857,0.44384,0.03073,0.00525,0,0,0,0,0.02007,nan,23.4397,2.96859,0.0767568,0.0767568,0.0767568
4,160.113,0.02015,nan,21.198,3.04911,0.00815,0.42192,0.03333,0.00553,0,0,0,0,0.02007,nan,23.2277,2.96767,0.0736093,0.0736093,0.0736093
5,202.914,0.02045,nan,21.1884,3.07007,0.0081,0.41918,0.03305,0.00592,0,0,0,0,0.02007,nan,23.3379,2.96946,0.0704618,0.0704618,0.0704618
6,247.301,0.0205,nan,21.1737,3.08412,0.0082,0.42466,0.03515,0.00623,0,0,0,0,0.02007,nan,23.2701,2.96913,0.0673143,0.0673143,0.0673143
7,292.65,0.02024,nan,21.2021,3.06035,0.00783,0.40548,0.03186,0.0056,0,0,0,0,0.02007,nan,23.2329,2.96882,0.0641668,0.0641668,0.0641668
8,338.585,0.02081,nan,20.9713,3.07611,0.00799,0.4137,0.03244,0.00585,0,0,0,0,0.02007,nan,23.2178,2.96912,0.0610193,0.0610193,0.0610193
9,387.124,0.02051,nan,21.0717,3.07583,0.0081,0.41918,0.03039,0.00556,0,0,0,0,0.02007,nan,23.2629,2.96978,0.0578718,0.0578718,0.0578718
10,433.025,0.02046,nan,21.0103,3.05698,0.00783,0.40548,0.03275,0.00571,0,0,0,0,0.02007,nan,23.2241,2.9682,0.0547243,0.0547243,0.0547243
11,478.564,0.01955,nan,22.2101,3.08081,0.00831,0.43014,0.0317,0.00601,0,0,0,0,0.02006,nan,23.4794,2.97428,0.0515768,0.0515768,0.0515768
12,524.039,0.0197,nan,22.411,3.07539,0.00799,0.4137,0.03249,0.00615,0,0,0,0,0.02005,nan,23.4681,2.97533,0.0484293,0.0484293,0.0484293
13,570.035,0.01972,nan,22.2143,3.08324,0.00788,0.40822,0.03225,0.00588,0,0,0,0,0.02007,nan,23.399,2.97221,0.0452818,0.0452818,0.0452818
14,616.335,0.01991,nan,22.3691,3.11133,0.00815,0.42192,0.0318,0.00589,0,0,0,0,0.02007,nan,23.3021,2.97144,0.0421342,0.0421342,0.0421342
15,663.359,0.01964,nan,22.3488,3.07247,0.00799,0.4137,0.03168,0.00611,0,0,0,0,0.02007,nan,23.3735,2.97441,0.0389867,0.0389867,0.0389867
16,710.068,0.01939,nan,22.4627,3.0425,0.00804,0.41644,0.03529,0.00642,0,0,0,0,0.02006,nan,23.3833,2.97153,0.0358392,0.0358392,0.0358392
17,756.37,0.01969,nan,22.2446,3.06513,0.00794,0.41096,0.03015,0.00564,0,0,0,0,0.02006,nan,23.345,2.97083,0.0326917,0.0326917,0.0326917
18,803.234,0.01975,nan,22.2887,3.09259,0.00815,0.42192,0.03198,0.006,0,0,0,0,0.02006,nan,23.4694,2.97324,0.0295442,0.0295442,0.0295442
19,849.703,0.01969,nan,22.3313,3.05365,0.00772,0.4,0.03153,0.00586,0,0,0,0,0.02006,nan,23.3707,2.9727,0.0263967,0.0263967,0.0263967
20,896.164,0.02012,nan,22.1638,3.08965,0.0081,0.41918,0.03445,0.00642,0,0,0,0,0.02006,nan,23.4243,2.9727,0.0232492,0.0232492,0.0232492
