epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.442,0.04835,0.08519,15.6452,3.24849,0.02234,0.00822,0.00453,0.00056,0,0,0,0,nan,nan,nan,nan,0.136969,0.0312198,0.0312198
2,77.7557,0.04825,nan,15.025,2.93594,0.01335,0.20822,0.01153,0.00303,0,0,0,0,nan,nan,nan,nan,0.0919446,0.0618608,0.0618608
3,115.963,0.04718,nan,15.6888,2.9066,0.01222,0.23562,0.00888,0.00185,0,0,0,0,nan,nan,nan,nan,0.0730816,0.0730816,0.0730816
4,156.624,0.04766,nan,15.7919,2.90904,0.01116,0.21644,0.00767,0.00162,0,0,0,0,nan,nan,nan,nan,0.0719302,0.0719302,0.0719302
5,198.306,0.04783,nan,15.8938,2.91991,0.01116,0.21918,0.0078,0.00162,0,0,0,0,nan,nan,nan,nan,0.0707789,0.0707789,0.0707789
6,240.695,0.04815,nan,15.9918,2.93472,0.01089,0.21096,0.00757,0.00153,0,0,0,0,nan,nan,nan,nan,0.0696275,0.0696275,0.0696275
7,283.408,0.04801,nan,15.4634,2.91012,0.01165,0.22466,0.00799,0.00169,0,0,0,0,nan,nan,nan,nan,0.0684761,0.0684761,0.0684761
8,326.592,0.04828,nan,15.4943,2.91828,0.01148,0.22192,0.008,0.00167,0,0,0,0,nan,nan,nan,nan,0.0673247,0.0673247,0.0673247
9,370.271,0.04804,nan,15.5476,2.92173,0.01138,0.21918,0.00786,0.00162,0,0,0,0,nan,nan,nan,nan,0.0661734,0.0661734,0.0661734
10,413.378,0.04823,nan,15.6531,2.94452,0.0114,0.22192,0.00794,0.00179,0,0,0,0,nan,nan,nan,nan,0.065022,0.065022,0.065022
11,458.354,0.04748,nan,19.6613,2.92024,0.01235,0.21918,0.00968,0.0022,0,0,0,0,0.04616,nan,20.7413,3.02511,0.0638706,0.0638706,0.0638706
12,501.436,0.0478,nan,21.2895,2.97017,0.01107,0.21096,0.00772,0.00169,0,0,0,0,0.04694,nan,23.8088,3.0057,0.0627193,0.0627193,0.0627193
13,545.019,0.04812,nan,21.8384,2.97225,0.01077,0.20548,0.00764,0.00181,0,0,0,0,0.04696,nan,21.8839,3.0013,0.0615679,0.0615679,0.0615679
14,587.64,0.04828,nan,21.5271,2.97937,0.01225,0.23288,0.00871,0.00191,0,0,0,0,0.04694,nan,21.1252,2.99754,0.0604165,0.0604165,0.0604165
15,630.851,0.04813,nan,21.2562,2.96031,0.01179,0.22466,0.00836,0.00176,0,0,0,0,0.04699,nan,22.789,2.99939,0.0592651,0.0592651,0.0592651
16,674.82,0.04764,nan,21.7972,2.95448,0.01229,0.23562,0.00898,0.00173,0,0,0,0,nan,nan,nan,nan,0.0581138,0.0581138,0.0581138
17,717.834,0.04839,nan,22.1649,2.97686,0.01126,0.21644,0.00804,0.00172,0,0,0,0,0.04697,nan,23.2589,3.00823,0.0569624,0.0569624,0.0569624
18,761.265,0.04806,nan,22.117,2.97063,0.01084,0.20822,0.00758,0.00155,0,0,0,0,0.04692,nan,22.48,3.00717,0.055811,0.055811,0.055811
19,805.081,0.04804,nan,21.9324,2.97168,0.01225,0.23562,0.00888,0.00186,0,0,0,0,0.04701,nan,nan,3.00898,0.0546596,0.0546596,0.0546596
20,848.682,0.04853,nan,21.2389,2.99287,0.01219,0.23288,0.00874,0.0018,0,0,0,0,nan,nan,nan,nan,0.0535083,0.0535083,0.0535083
