epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.1458,0.02946,0.05223,3.74453,3.45093,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0535371,0.0185979,0.0185979
2,75.989,0.02904,0.04051,3.40362,3.0974,0.00718,0.03288,0.00485,0.00117,0.00718,0.03288,0.004,0.0008,nan,nan,nan,nan,0.0220574,0.0220574,0.0220574
3,114.708,0.02934,0.04004,3.29459,3.02865,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0214344,0.0214344,0.0214344
4,157.236,0.0284,0.03984,3.25878,3.03845,0.0132,0.54795,0.02246,0.0051,0.01432,0.59452,0.03509,0.00951,0.02644,0.03053,3.8418,3.21217,0.0208115,0.0208115,0.0208115
5,201.091,0.0259,0.03854,3.17554,2.96861,0.08635,0.06027,0.05161,0.01413,0.10379,0.06575,0.03403,0.00784,0.02291,0.05902,4.0623,3.03252,0.0201885,0.0201885,0.0201885
6,246.809,0.02451,0.03671,3.08614,2.89274,0.08866,0.06027,0.0492,0.0154,0.06589,0.05205,0.03935,0.01218,0.02268,0.02796,4.03977,2.82856,0.0195655,0.0195655,0.0195655
7,292.325,0.02319,0.03524,3.01779,2.83499,0.14436,0.30685,0.08728,0.01961,0.16577,0.30959,0.11011,0.02717,0.02081,0.02803,3.02032,2.66571,0.0189426,0.0189426,0.0189426
8,338.703,0.02191,0.03517,2.92461,2.681,0.34297,0.26027,0.19808,0.03995,0.40185,0.30002,0.25571,0.09675,0.02089,0.02725,2.95444,2.53145,0.0183196,0.0183196,0.0183196
9,385.64,0.02096,0.0348,2.7924,2.58322,0.44076,0.33901,0.32242,0.0893,0.461,0.34795,0.33929,0.13424,0.01821,0.03158,2.69764,2.41371,0.0176966,0.0176966,0.0176966
10,433.338,0.02012,0.03421,2.73818,2.5142,0.25412,0.23836,0.16483,0.03298,0.34758,0.32603,0.23821,0.06666,0.02164,0.02552,2.86257,2.65714,0.0170737,0.0170737,0.0170737
11,480.575,0.01898,0.03167,2.71461,2.42087,0.34141,0.30962,0.26156,0.08694,0.32053,0.25753,0.21631,0.07222,0.01797,0.03201,4.14747,2.40351,0.0164507,0.0164507,0.0164507
12,526.583,0.01889,0.03244,2.64465,2.38942,0.41624,0.38082,0.32983,0.08701,0.43515,0.36438,0.33418,0.08473,0.01942,0.03354,2.63077,2.46174,0.0158277,0.0158277,0.0158277
13,572.697,0.01892,0.03172,2.67431,2.42375,0.32559,0.33151,0.25602,0.07435,0.34858,0.34795,0.26058,0.09768,0.01784,0.03328,2.71653,2.34117,0.0152048,0.0152048,0.0152048
14,618.242,0.01865,0.0313,2.51726,2.34116,0.48618,0.38904,0.37525,0.13827,0.02207,0.03014,0.01598,0.00572,0.01619,0.04784,2.54315,2.19571,0.0145818,0.0145818,0.0145818
15,664.485,0.01828,0.03112,2.44282,2.33061,0.4292,0.51233,0.43712,0.14217,0.45312,0.51233,0.42533,0.1643,0.01675,0.03658,2.49525,2.19049,0.0139588,0.0139588,0.0139588
16,711.379,0.01797,0.03056,2.42165,2.30209,0.46116,0.46301,0.37049,0.12539,0.37581,0.38356,0.27413,0.09409,0.01659,0.03852,2.32313,2.13761,0.0133359,0.0133359,0.0133359
17,757.978,0.01814,0.03088,2.34562,2.29406,0.45043,0.45205,0.44566,0.17104,0.51232,0.49041,0.47106,0.19517,0.01663,0.03672,2.47617,2.15613,0.0127129,0.0127129,0.0127129
18,803.942,0.01786,0.03098,2.40362,2.31394,0.45293,0.47671,0.44203,0.16003,0.24038,0.24932,0.15943,0.03668,0.01619,0.04101,2.95055,2.08537,0.0120899,0.0120899,0.0120899
19,851.411,0.01764,0.02988,2.21563,2.26079,0.40725,0.50685,0.33146,0.10723,0.41796,0.51781,0.34027,0.15053,0.01746,0.03313,2.37646,2.23873,0.011467,0.011467,0.011467
20,897.018,0.01766,0.03009,2.18521,2.24759,0.549,0.50025,0.48811,0.1854,0.57208,0.50911,0.50125,0.22155,0.01704,0.03818,2.39163,2.07922,0.010844,0.010844,0.010844
