epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3512,0.07387,0.13837,22.0725,3.3245,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0692037,0.0339734,0.0339734
2,78.6649,0.07584,0.11513,19.6431,2.83374,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0405184,0.0405184,0.0405184
3,118.161,0.0758,nan,19.6165,2.78382,0.00918,0.47397,0.02581,0.00466,0,0,0,0,nan,nan,nan,nan,0.0391916,0.0391916,0.0391916
4,160.079,0.07604,nan,19.5323,2.76551,0.01247,0.51781,0.02303,0.00411,0,0,0,0,nan,nan,nan,nan,0.0378648,0.0378648,0.0378648
5,202.607,0.07563,nan,19.4578,2.75514,0.01063,0.55068,0.04102,0.00716,0,0,0,0,nan,nan,nan,nan,0.036538,0.036538,0.036538
6,246.847,0.07595,nan,19.6164,2.76763,0.01069,0.55342,0.04086,0.00762,0,0,0,0,nan,nan,nan,nan,0.0352112,0.0352112,0.0352112
7,290.892,0.07534,nan,19.4722,2.75828,0.01063,0.55068,0.03979,0.00712,0,0,0,0,nan,nan,nan,nan,0.0338844,0.0338844,0.0338844
8,336.927,0.07612,nan,19.5737,2.76761,0.01021,0.52877,0.03831,0.00722,0,0,0,0,nan,nan,nan,nan,0.0325576,0.0325576,0.0325576
9,385.518,0.07645,nan,19.6375,2.78315,0.01054,0.53151,0.03738,0.00671,0,0,0,0,nan,nan,nan,nan,0.0312308,0.0312308,0.0312308
10,430.628,0.07596,nan,19.75,2.75557,0.01095,0.56712,0.04553,0.00846,0,0,0,0,nan,nan,nan,nan,0.029904,0.029904,0.029904
11,476.834,0.07176,nan,26.2836,2.71806,0.01021,0.52877,0.04942,0.00923,0,0,0,0,nan,nan,nan,nan,0.0285772,0.0285772,0.0285772
12,520.829,0.07293,nan,26.0138,2.75328,0.01045,0.53425,0.05584,0.01092,0,0,0,0,nan,nan,nan,nan,0.0272504,0.0272504,0.0272504
13,565.604,0.07342,nan,26.5527,2.75574,0.01016,0.52603,0.0517,0.01041,0,0,0,0,nan,nan,nan,nan,0.0259236,0.0259236,0.0259236
14,611.089,0.07305,nan,26.1646,2.75352,0.01032,0.53425,0.05012,0.01056,0,0,0,0,nan,nan,nan,nan,0.0245968,0.0245968,0.0245968
15,655.797,0.07343,nan,25.8544,2.74368,0.01079,0.5589,0.05586,0.0112,0,0,0,0,nan,nan,nan,nan,0.02327,0.02327,0.02327
16,701.518,0.0719,nan,26.3619,2.73603,0.01039,0.53151,0.05306,0.01089,0,0,0,0,nan,nan,nan,nan,0.0219432,0.0219432,0.0219432
17,747.473,0.07241,nan,26.4045,2.7189,0.01034,0.52877,0.05713,0.01094,0,0,0,0,nan,nan,nan,nan,0.0206164,0.0206164,0.0206164
18,792.309,0.07265,nan,26.5464,2.73374,0.01053,0.54521,0.05301,0.01071,0,0,0,0,nan,nan,nan,nan,0.0192896,0.0192896,0.0192896
19,837.294,0.07271,nan,26.3115,2.73686,0.0105,0.54247,0.0564,0.0109,0,0,0,0,nan,nan,nan,nan,0.0179628,0.0179628,0.0179628
20,881.73,0.07347,nan,25.9846,2.7308,0.0103,0.53151,0.05404,0.01081,0,0,0,0,nan,nan,nan,nan,0.016636,0.016636,0.016636
