epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.4506,0.04834,0.06823,20.329,3.36095,0.0135,0.19178,0.00732,0.00189,0.01005,0.04384,0.00309,0.00121,nan,nan,nan,nan,0.0352132,0.00441092,0.00441092
2,78.0665,0.04161,0.05961,18.5733,2.91007,0.00386,0.12329,0.00229,0.00053,0.00318,0.10137,0.00167,0.00031,nan,nan,nan,nan,0.00537538,0.00537538,0.00537538
3,118.307,0.03853,0.05816,17.4029,2.73051,0.00719,0.32603,0.00615,0.0016,0.00132,0.06849,0.00071,0.00016,nan,nan,nan,nan,0.0053716,0.0053716,0.0053716
4,159.898,0.03626,0.05752,16.7988,2.60585,0.04676,0.32329,0.03455,0.0099,0.04432,0.29041,0.03022,0.00798,0.03447,0.22623,nan,2.52569,0.00536782,0.00536782,0.00536782
5,205.186,0.03509,0.05654,16.6018,2.54471,0.07371,0.21757,0.04458,0.01236,0.06276,0.26575,0.03993,0.0097,0.03193,0.05313,65.7087,2.4135,0.00536403,0.00536403,0.00536403
6,251.78,0.03435,0.05661,16.0322,2.52277,0.26658,0.19726,0.13218,0.03585,0.28247,0.20548,0.13921,0.037,0.02945,0.05793,26.1105,2.33344,0.00536025,0.00536025,0.00536025
7,297.76,0.03347,0.05499,16.0428,2.45307,0.40071,0.34439,0.29336,0.10064,0.4371,0.37017,0.33272,0.14802,0.02957,0.04191,17.8623,2.23602,0.00535647,0.00535647,0.00535647
8,345.593,0.03209,0.05402,15.2338,2.35796,0.32315,0.40274,0.25307,0.11006,0.31717,0.3863,0.25097,0.11971,0.02717,0.0406,18.4603,2.09106,0.00535268,0.00535268,0.00535268
9,394.673,0.03172,0.05474,15.2026,2.31428,0.44743,0.4703,0.41239,0.16719,0.45525,0.47852,0.41004,0.18614,0.02545,0.03824,20.4917,2.02697,0.0053489,0.0053489,0.0053489
10,445.303,0.03157,0.05378,14.7371,2.33526,0.48343,0.40766,0.40217,0.17133,0.47023,0.42071,0.40228,0.17512,0.02675,0.04292,16.9007,2.06926,0.00534512,0.00534512,0.00534512
11,494.886,0.02705,0.04935,15.2706,2.11382,0.53429,0.40233,0.40636,0.14233,0.54019,0.41096,0.40957,0.17262,0.03126,0.03515,24.2854,2.28843,0.00534133,0.00534133,0.00534133
12,542.659,0.02831,0.05051,14.477,2.23576,0.45432,0.41644,0.36599,0.14593,0.43186,0.40822,0.3431,0.11897,0.02773,0.0383,17.8503,2.2629,0.00533755,0.00533755,0.00533755
13,590.758,0.02805,0.04899,13.9851,2.24905,0.52395,0.43288,0.44066,0.14554,0.5208,0.45854,0.4618,0.20618,0.02844,0.03777,16.3668,2.242,0.00533377,0.00533377,0.00533377
14,638.46,0.0277,0.04881,13.5135,2.19066,0.63334,0.52877,0.58488,0.26536,0.57081,0.59394,0.58161,0.31177,0.02526,0.03656,16.0465,1.9645,0.00532998,0.00532998,0.00532998
15,686.651,0.02687,0.04743,12.5359,2.12319,0.59832,0.51781,0.57418,0.27395,0.77259,0.45607,0.59734,0.3003,0.02519,0.03608,13.466,1.93684,0.0053262,0.0053262,0.0053262
16,735.289,0.02723,0.04802,12.75,2.14856,0.56242,0.53151,0.55474,0.15309,0.65765,0.57534,0.64292,0.24634,0.0282,0.03409,15.8535,2.31841,0.00532242,0.00532242,0.00532242
17,784.756,0.02674,0.04837,12.2911,2.13059,0.66934,0.6274,0.6382,0.30267,0.68842,0.64658,0.65602,0.35667,0.02372,0.03436,10.4025,1.9042,0.00531863,0.00531863,0.00531863
18,832.755,0.02581,0.04713,11.8678,2.06389,0.72994,0.60274,0.6629,0.2767,0.72742,0.59452,0.65771,0.32626,0.02546,0.04095,12.1036,1.98311,0.00531485,0.00531485,0.00531485
19,882.099,0.02689,0.04994,12.2088,2.09315,0.67492,0.58904,0.6673,0.33555,0.73643,0.53425,0.66062,0.37286,0.02342,0.03456,10.7585,1.82247,0.00531107,0.00531107,0.00531107
20,930.441,0.02573,0.04653,11.2774,2.04514,0.62318,0.51507,0.56643,0.23499,0.69646,0.51507,0.5966,0.29912,0.02762,0.03164,12.2954,2.05875,0.00530729,0.00530729,0.00530729
