epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.4379,0.02883,0.04405,13.6479,3.27193,0,0,0,0,0,0,0,0,0.00169,0.02346,34880,11.5014,0.0901241,0.0011384,0.0011384
2,74.8861,0.02429,0.03453,11.2416,2.80047,0.28416,0.29315,0.17064,0.0429,0.26609,0.29863,0.16259,0.04381,0.02382,0.04668,75.061,3.07422,0.0590714,0.00219791,0.00219791
3,113.829,0.02224,0.03371,10.5987,2.6808,0.40883,0.41115,0.30991,0.13283,0.4387,0.39726,0.29069,0.10467,0.01897,0.04202,27.3659,2.55692,0.0279253,0.00316408,0.00316408
4,157.081,0.02097,0.03309,10.2238,2.55884,0.30738,0.49863,0.2588,0.08609,0.3145,0.51507,0.27582,0.11925,0.01923,0.02421,61.3577,2.43774,0.00380518,0.00380518,0.00380518
5,204.619,0.01998,0.03288,9.63005,2.45073,0.60844,0.48493,0.51528,0.17864,0.62165,0.50411,0.54159,0.24508,0.01694,0.02275,12.8799,2.22287,0.00362974,0.00362974,0.00362974
6,253.585,0.0189,0.03173,8.92739,2.37597,0.53466,0.57808,0.50833,0.19541,0.55418,0.59258,0.52881,0.28103,0.01615,0.05082,11.5301,2.22365,0.00345431,0.00345431,0.00345431
7,302.632,0.01841,0.03172,8.72314,2.35078,0.61943,0.58417,0.58875,0.24248,0.59528,0.60274,0.59337,0.35054,0.01584,0.01765,13.7103,2.11524,0.00327887,0.00327887,0.00327887
8,352.444,0.01732,0.03044,8.13841,2.25104,0.7214,0.72877,0.74067,0.3355,0.7214,0.72877,0.73366,0.4414,0.0153,0.02228,7.20854,2.0786,0.00310344,0.00310344,0.00310344
9,402.017,0.01711,0.0301,7.99612,2.21458,0.67098,0.68767,0.72369,0.31782,0.679,0.69589,0.72948,0.44783,0.01442,0.01794,7.68199,1.98126,0.002928,0.002928,0.002928
10,451.596,0.01663,0.0303,7.82846,2.17954,0.6354,0.67799,0.71185,0.38091,0.62182,0.72527,0.71606,0.44296,0.0133,0.01657,8.53704,1.89159,0.00275257,0.00275257,0.00275257
11,500.783,0.01418,0.02705,6.7833,2.02449,0.75526,0.69328,0.72537,0.3621,0.76934,0.70411,0.75062,0.4629,0.01319,0.01651,6.62526,1.86123,0.00257714,0.00257714,0.00257714
12,549.793,0.01434,0.02685,6.46863,1.99432,0.78539,0.70186,0.76942,0.41836,0.77979,0.68882,0.76864,0.49581,0.01272,0.01788,8.33589,1.81348,0.0024017,0.0024017,0.0024017
13,599.037,0.0141,0.02607,6.09783,1.98048,0.7799,0.71233,0.79191,0.47891,0.7739,0.70685,0.78627,0.54036,0.01162,0.01477,6.13929,1.68913,0.00222627,0.00222627,0.00222627
14,647.759,0.01378,0.02586,5.82883,1.93491,0.77732,0.75554,0.81849,0.52647,0.77732,0.75554,0.81958,0.56624,0.01063,0.01458,4.862,1.63794,0.00205083,0.00205083,0.00205083
15,698.547,0.01308,0.02524,5.42811,1.87622,0.84959,0.77378,0.85408,0.52119,0.84904,0.77043,0.85301,0.61647,0.0112,0.01416,5.28293,1.67187,0.0018754,0.0018754,0.0018754
16,750.395,0.01316,0.02551,5.27575,1.86212,0.87155,0.76214,0.86356,0.46699,0.84937,0.77245,0.86516,0.56972,0.01314,0.01499,5.13297,1.79058,0.00169996,0.00169996,0.00169996
17,801.815,0.01278,0.02551,5.08757,1.84627,0.84635,0.69421,0.81954,0.4698,0.87329,0.67671,0.81644,0.57151,0.01172,0.01398,5.58298,1.69253,0.00152453,0.00152453,0.00152453
18,852.373,0.01257,0.0255,5.18963,1.83983,0.79857,0.80378,0.86519,0.59229,0.78819,0.80274,0.86018,0.64282,0.00974,0.01474,4.15783,1.54138,0.00134909,0.00134909,0.00134909
19,902.804,0.01223,0.02499,4.76843,1.79415,0.86633,0.76712,0.86328,0.52017,0.86633,0.76712,0.86715,0.63815,0.01148,0.01438,4.7569,1.64756,0.00117366,0.00117366,0.00117366
20,953.023,0.01212,0.02429,4.60898,1.76166,0.83828,0.7863,0.87103,0.44869,0.83119,0.78082,0.86253,0.61127,0.01297,0.01416,4.94911,1.76888,0.000998223,0.000998223,0.000998223
